"n","data_q","fit_q","algo","mean","sd","nrep"
30,2,2,"ABC-SMC",-19.9229912024986,0.74754159191451,30
100,2,2,"ABC-SMC",-92.5424808720815,3.56959093721754,30
200,2,2,"ABC-SMC",-200.609986131997,3.56713571948004,30
300,2,2,"ABC-SMC",-334.275474252915,4.81107896996652,30
100,3,2,"ABC-SMC",-79.0382036434187,2.23508316551346,30
100,4,2,"ABC-SMC",-284.463806323102,10.4836673845379,30
100,2,3,"ABC-SMC",-94.7333773718237,2.75040874315644,30
30,3,3,"ABC-SMC",-22.4188363862146,0.757402583292159,30
100,3,3,"ABC-SMC",-79.0498765264319,2.70719635083194,30
200,3,3,"ABC-SMC",-200.304879527803,5.81724386508828,30
300,3,3,"ABC-SMC",-311.239858998196,5.4005657064654,30
100,4,3,"ABC-SMC",-271.947371996989,14.1723831918167,30
100,2,4,"ABC-SMC",-94.5490775927713,4.23590266380916,30
100,3,4,"ABC-SMC",-81.7061102524661,2.55552408311621,30
30,4,4,"ABC-SMC",-43.0137804382338,3.56995859378212,30
100,4,4,"ABC-SMC",-267.366115443,10.5370884351129,30
200,4,4,"ABC-SMC",-827.78731335482,23.6414962923234,30
300,4,4,"ABC-SMC",-1112.85470986092,20.7739515514804,30
30,2,2,"RE-gaussian",-19.7096910163686,0.0554442742715545,30
100,2,2,"RE-gaussian",-70.7125394253943,0.201659269378735,30
200,2,2,"RE-gaussian",-137.034809730639,0.290748800141385,30
300,2,2,"RE-gaussian",-205.005928376441,0.626821329934016,30
100,3,2,"RE-gaussian",-67.2712556611604,0.141706894816995,30
100,4,2,"RE-gaussian",-106.213562145239,0.264403361057899,30
100,2,3,"RE-gaussian",-71.5513405079737,0.250425491892231,30
30,3,3,"RE-gaussian",-21.5956169774165,0.0873649103206559,30
100,3,3,"RE-gaussian",-66.5043877974074,0.134133164019316,30
200,3,3,"RE-gaussian",-147.323250391829,0.320771258287983,30
300,3,3,"RE-gaussian",-217.243972875586,0.412720778701148,30
100,4,3,"RE-gaussian",-98.0598943547665,0.62599144078153,30
100,2,4,"RE-gaussian",-72.0891382255226,0.218701058933353,30
100,3,4,"RE-gaussian",-67.5580244055025,0.284019668492524,30
30,4,4,"RE-gaussian",-30.4927048498656,0.223849370929427,30
100,4,4,"RE-gaussian",-97.4967352779666,0.6669894570596,30
200,4,4,"RE-gaussian",-203.600388540053,2.33160075353406,30
300,4,4,"RE-gaussian",-296.923821679236,2.64495809643164,30
30,2,2,"RE-pcnmala",-19.8696859082748,0.0861785877094357,30
100,2,2,"RE-pcnmala",-71.5950446717254,0.290546525330989,30
200,2,2,"RE-pcnmala",-139.336026798807,0.515660976083673,30
300,2,2,"RE-pcnmala",-208.136306157159,1.07955922026292,30
100,3,2,"RE-pcnmala",-68.2512925705723,0.28280564814008,30
100,4,2,"RE-pcnmala",-107.81422825625,0.510331121039038,30
100,2,3,"RE-pcnmala",-72.4407863852162,0.331297655621119,30
30,3,3,"RE-pcnmala",-21.7608542389456,0.103103153805288,30
100,3,3,"RE-pcnmala",-67.4886199612427,0.278091755227888,30
200,3,3,"RE-pcnmala",-149.46185446417,0.692396132933382,30
300,3,3,"RE-pcnmala",-220.103652718161,0.68123078739997,30
100,4,3,"RE-pcnmala",-99.9463883381711,0.7552650665233,30
100,2,4,"RE-pcnmala",-72.9895497938958,0.370356508552086,30
100,3,4,"RE-pcnmala",-68.5621850396778,0.32876047873425,30
30,4,4,"RE-pcnmala",-30.670371598236,0.26310113811967,30
100,4,4,"RE-pcnmala",-99.4545531031313,1.1472307730399,30
200,4,4,"RE-pcnmala",-207.861485311097,2.71877303686074,30
300,4,4,"RE-pcnmala",-305.3903156585,3.25625343968287,30
